# N        Cells        Creation        First            Second           Third

1         1              1.226           0.285            0.092           0.053
2         8              1.087           0.369            0.271           0.248
3         27             1.432            0.78            0.789           0.725
4         64             1.957           1.846            1.842           1.736
5         125             3.01           3.898            3.517           3.364
6         216            4.448            7.96             6.16           5.943
7         343            6.595           14.51            9.576           9.303
8         512            9.378           25.59            14.47           13.74
9         729            12.85           42.42            20.15           19.98
10        1000           17.33           67.86            28.25           27.34
11        1331           23.21           103.5            36.97            36.2
12        1728           29.84           154.3            47.83           47.13
13        2197           37.99           224.5            60.81           59.62
14        2744           47.28           316.7            76.29           74.74
15        3375           56.77           434.9            93.53            91.9
16        4096           70.19           597.5            113.1           111.1
17        4913            84.6           806.1            136.6           133.6
18        5832           99.18            1070            163.4           159.9
19        6859             117            1390            191.7             187
20        8000             135            1782            224.1           218.7
21        9261           155.6            2258            257.8           253.6
22        10648          181.5            2830            297.5           288.7
23        12167          211.4            3482            335.9           328.8
24        13824          235.6            4318            384.8           379.8
25        15625            271            5251            433.7           429.4
26        17576          301.8            6381            486.4             483
27        19683            342            7724              552           536.7
28        21952          385.1            9253            611.3           597.3
29        24389            434        1.117E+04           689.5           674.8
30        27000          473.9        1.323E+04           760.7           738.3
31        29791          515.2        1.546E+04           831.2           811.2
32        32768          571.6        1.819E+04           921.4           898.3
33        35937          634.2        2.113E+04            1012           987.9
34        39304          689.4        2.437E+04            1103            1072
35        42875          763.1        2.804E+04            1202            1169
36        46656          816.3        3.228E+04            1311            1272
37        50653            892        3.652E+04            1418            1377
38        54872          963.7        4.245E+04            1540            1501
39        59319           1043        4.85E+04             1663            1606
40        64000           1121        5.463E+04            1787            1736
41        68921           1200        6.21E+04             1935            1882
42        74088           1305        7.089E+04            2096            2017
43        79507           1386        7.895E+04            2228            2150
44        85184           1489        8.924E+04            2402            2326
45        91125           1608        9.861E+04            2562            2484
46        97336           1736        1.111E+05            2730            2635
47        103823          1843        1.239E+05            2926            2811
48        110592          1962        1.412E+05            3173            3032
49        117649          2109        1.554E+05            3319            3204
50        125000          2228        1.689E+05            3513            3372
